排名,中文片名,评分,链接
42,猫鼠游戏,9.1,https://movie.douban.com/subject/1305487/
43,天空之城,9.2,https://movie.douban.com/subject/1291583/
44,摔跤吧！爸爸,9.0,https://movie.douban.com/subject/26387939/
45,鬼子来了,9.3,https://movie.douban.com/subject/1291858/
46,少年派的奇幻漂流,9.1,https://movie.douban.com/subject/1929463/
47,钢琴家,9.3,https://movie.douban.com/subject/1296736/
48,指环王2：双塔奇兵,9.2,https://movie.douban.com/subject/1291572/
49,大话西游之月光宝盒,9.0,https://movie.douban.com/subject/1299398/
50,死亡诗社,9.2,https://movie.douban.com/subject/1291548/
51,闻香识女人,9.1,https://movie.douban.com/subject/1298624/
52,绿皮书,8.9,https://movie.douban.com/subject/27060077/
53,大闹天宫,9.4,https://movie.douban.com/subject/1418019/
54,罗马假日,9.1,https://movie.douban.com/subject/1293839/
55,黑客帝国,9.1,https://movie.douban.com/subject/1291843/
56,指环王1：护戒使者,9.1,https://movie.douban.com/subject/1291571/
57,教父2,9.3,https://movie.douban.com/subject/1299131/
58,天堂电影院,9.2,https://movie.douban.com/subject/1291828/
59,狮子王,9.1,https://movie.douban.com/subject/1301753/
60,辩护人,9.2,https://movie.douban.com/subject/21937445/
61,饮食男女,9.2,https://movie.douban.com/subject/1291818/
62,搏击俱乐部,9.0,https://movie.douban.com/subject/1292000/
63,本杰明·巴顿奇事,9.0,https://movie.douban.com/subject/1485260/
64,美丽心灵,9.1,https://movie.douban.com/subject/1306029/
65,穿条纹睡衣的男孩,9.2,https://movie.douban.com/subject/3008247/
66,情书,8.9,https://movie.douban.com/subject/1292220/
67,窃听风暴,9.2,https://movie.douban.com/subject/1900841/
68,两杆大烟枪,9.1,https://movie.douban.com/subject/1293350/
69,哈利·波特与死亡圣器(下),9.0,https://movie.douban.com/subject/3011235/
70,音乐之声,9.1,https://movie.douban.com/subject/1294408/
71,看不见的客人,8.8,https://movie.douban.com/subject/26580232/
72,西西里的美丽传说,8.9,https://movie.douban.com/subject/1292402/
73,阿凡达,8.8,https://movie.douban.com/subject/1652587/
74,拯救大兵瑞恩,9.1,https://movie.douban.com/subject/1292849/
75,功夫,8.9,https://movie.douban.com/subject/1291543/
76,哈利·波特与阿兹卡班的囚徒,9.0,https://movie.douban.com/subject/1291544/
77,小鞋子,9.2,https://movie.douban.com/subject/1303021/
78,飞越疯人院,9.1,https://movie.douban.com/subject/1292224/
79,沉默的羔羊,8.9,https://movie.douban.com/subject/1293544/
80,布达佩斯大饭店,8.9,https://movie.douban.com/subject/11525673/
81,蝴蝶效应,8.9,https://movie.douban.com/subject/1292343/
82,禁闭岛,8.9,https://movie.douban.com/subject/2334904/
83,致命魔术,8.9,https://movie.douban.com/subject/1780330/
84,心灵捕手,9.0,https://movie.douban.com/subject/1292656/
85,超脱,9.0,https://movie.douban.com/subject/5322596/
86,低俗小说,8.9,https://movie.douban.com/subject/1291832/
87,摩登时代,9.3,https://movie.douban.com/subject/1294371/
88,喜剧之王,8.8,https://movie.douban.com/subject/1302425/
89,哈利·波特与密室,8.9,https://movie.douban.com/subject/1296996/
90,春光乍泄,9.0,https://movie.douban.com/subject/1292679/
91,致命ID,8.9,https://movie.douban.com/subject/1297192/
92,海豚湾,9.3,https://movie.douban.com/subject/3442220/
93,杀人回忆,8.9,https://movie.douban.com/subject/1300299/
94,美国往事,9.1,https://movie.douban.com/subject/1292262/
95,一一,9.1,https://movie.douban.com/subject/1292434/
96,红辣椒,9.0,https://movie.douban.com/subject/1865703/
97,加勒比海盗,8.8,https://movie.douban.com/subject/1298070/
98,七宗罪,8.8,https://movie.douban.com/subject/1292223/
99,唐伯虎点秋香,8.7,https://movie.douban.com/subject/1306249/
100,狩猎,9.1,https://movie.douban.com/subject/6985810/
101,7号房的礼物,8.9,https://movie.douban.com/subject/10777687/
102,蝙蝠侠：黑暗骑士崛起,8.9,https://movie.douban.com/subject/3395373/
103,甜蜜蜜,8.9,https://movie.douban.com/subject/1305164/
104,被嫌弃的松子的一生,8.8,https://movie.douban.com/subject/1787291/
105,爱在黎明破晓前,8.8,https://movie.douban.com/subject/1296339/
106,超能陆战队,8.8,https://movie.douban.com/subject/11026735/
107,寄生虫,8.8,https://movie.douban.com/subject/27010768/
108,第六感,8.9,https://movie.douban.com/subject/1297630/
109,重庆森林,8.8,https://movie.douban.com/subject/1291999/
110,爱在日落黄昏时,8.9,https://movie.douban.com/subject/1291990/
111,入殓师,8.9,https://movie.douban.com/subject/2149806/
112,幽灵公主,8.9,https://movie.douban.com/subject/1297359/
113,剪刀手爱德华,8.7,https://movie.douban.com/subject/1292370/
114,请以你的名字呼唤我,8.8,https://movie.douban.com/subject/26799731/
115,断背山,8.8,https://movie.douban.com/subject/1418834/
116,勇敢的心,8.9,https://movie.douban.com/subject/1294639/
117,菊次郎的夏天,8.9,https://movie.douban.com/subject/1293359/
118,借东西的小人阿莉埃蒂,8.9,https://movie.douban.com/subject/4202302/
119,未麻的部屋,9.1,https://movie.douban.com/subject/1395091/
120,哈利·波特与火焰杯,8.8,https://movie.douban.com/subject/1309055/
121,消失的爱人,8.7,https://movie.douban.com/subject/21318488/
122,无人知晓,9.1,https://movie.douban.com/subject/1292337/
123,时空恋旅人,8.8,https://movie.douban.com/subject/10577869/
124,茶馆,9.6,https://movie.douban.com/subject/1461403/
125,倩女幽魂,8.8,https://movie.douban.com/subject/1297447/
126,完美的世界,9.1,https://movie.douban.com/subject/1300992/
127,阳光灿烂的日子,8.8,https://movie.douban.com/subject/1291875/
128,小森林 夏秋篇,9.0,https://movie.douban.com/subject/25814705/
129,天使爱美丽,8.7,https://movie.douban.com/subject/1292215/
130,驯龙高手,8.8,https://movie.douban.com/subject/2353023/
131,头脑特工队,8.8,https://movie.douban.com/subject/10533913/
132,侧耳倾听,8.9,https://movie.douban.com/subject/1297052/
133,新世界,8.9,https://movie.douban.com/subject/10437779/
134,教父3,9.0,https://movie.douban.com/subject/1294240/
135,怪兽电力公司,8.8,https://movie.douban.com/subject/1291579/
136,傲慢与偏见,8.7,https://movie.douban.com/subject/1418200/
137,玩具总动员3,8.9,https://movie.douban.com/subject/1858711/
138,一个叫欧维的男人决定去死,8.9,https://movie.douban.com/subject/26628357/
139,幸福终点站,8.8,https://movie.douban.com/subject/1292274/
140,小森林 冬春篇,9.0,https://movie.douban.com/subject/25814707/
141,色，戒,8.7,https://movie.douban.com/subject/1828115/
142,被解救的姜戈,8.8,https://movie.douban.com/subject/6307447/
143,釜山行,8.6,https://movie.douban.com/subject/25986180/
144,神偷奶爸,8.7,https://movie.douban.com/subject/3287562/
145,萤火之森,8.8,https://movie.douban.com/subject/5989818/
146,九品芝麻官,8.7,https://movie.douban.com/subject/1297518/
147,哪吒闹海,9.2,https://movie.douban.com/subject/1307315/
148,告白,8.8,https://movie.douban.com/subject/4268598/
149,喜宴,9.0,https://movie.douban.com/subject/1303037/
150,玛丽和马克思,9.0,https://movie.douban.com/subject/3072124/
151,模仿游戏,8.8,https://movie.douban.com/subject/10463953/
152,头号玩家,8.6,https://movie.douban.com/subject/4920389/
153,花样年华,8.8,https://movie.douban.com/subject/1291557/
154,大鱼,8.8,https://movie.douban.com/subject/1291545/
155,七武士,9.3,https://movie.douban.com/subject/1295399/
156,射雕英雄传之东成西就,8.7,https://movie.douban.com/subject/1316510/
157,惊魂记,9.0,https://movie.douban.com/subject/1293181/
158,血战钢锯岭,8.7,https://movie.douban.com/subject/26325320/
159,我是山姆,9.0,https://movie.douban.com/subject/1306861/
160,阳光姐妹淘,8.8,https://movie.douban.com/subject/4917726/
161,恐怖直播,8.7,https://movie.douban.com/subject/21360417/
162,你的名字。,8.5,https://movie.douban.com/subject/26683290/
163,黑客帝国3：矩阵革命,8.8,https://movie.douban.com/subject/1302467/
164,三块广告牌,8.7,https://movie.douban.com/subject/26611804/
165,心迷宫,8.8,https://movie.douban.com/subject/25917973/
166,电锯惊魂,8.7,https://movie.douban.com/subject/1417598/
167,小丑,8.7,https://movie.douban.com/subject/27119724/
168,达拉斯买家俱乐部,8.8,https://movie.douban.com/subject/1793929/
169,背靠背，脸对脸,9.5,https://movie.douban.com/subject/1307856/
170,心灵奇旅,8.7,https://movie.douban.com/subject/24733428/
171,疯狂原始人,8.7,https://movie.douban.com/subject/1907966/
172,谍影重重3,8.8,https://movie.douban.com/subject/1578507/
173,绿里奇迹,8.9,https://movie.douban.com/subject/1300374/
174,上帝之城,9.0,https://movie.douban.com/subject/1292208/
175,海街日记,8.8,https://movie.douban.com/subject/25895901/
176,爱在午夜降临前,8.9,https://movie.douban.com/subject/10808442/
177,英雄本色,8.6,https://movie.douban.com/subject/1297574/
178,风之谷,8.9,https://movie.douban.com/subject/1291585/
179,无间道2,8.8,https://movie.douban.com/subject/1307106/
180,疯狂的石头,8.6,https://movie.douban.com/subject/1862151/
181,2001太空漫游,8.9,https://movie.douban.com/subject/1292226/
182,雨中曲,9.1,https://movie.douban.com/subject/1293460/
183,纵横四海,8.8,https://movie.douban.com/subject/1295409/
184,卢旺达饭店,8.9,https://movie.douban.com/subject/1291822/
185,记忆碎片,8.7,https://movie.douban.com/subject/1304447/
186,小偷家族,8.7,https://movie.douban.com/subject/27622447/
187,无敌破坏王,8.7,https://movie.douban.com/subject/6534248/
188,岁月神偷,8.7,https://movie.douban.com/subject/3792799/
189,冰川时代,8.6,https://movie.douban.com/subject/1291578/
190,牯岭街少年杀人事件,8.9,https://movie.douban.com/subject/1292329/
191,恐怖游轮,8.5,https://movie.douban.com/subject/3011051/
192,荒蛮故事,8.8,https://movie.douban.com/subject/24750126/
193,忠犬八公物语,9.2,https://movie.douban.com/subject/1959195/
194,爆裂鼓手,8.6,https://movie.douban.com/subject/25773932/
195,末路狂花,9.0,https://movie.douban.com/subject/1291992/
196,东京教父,9.0,https://movie.douban.com/subject/1310177/
197,魔女宅急便,8.7,https://movie.douban.com/subject/1307811/
198,大佛普拉斯,8.7,https://movie.douban.com/subject/27059130/
199,遗愿清单,8.7,https://movie.douban.com/subject/1867345/
200,贫民窟的百万富翁,8.6,https://movie.douban.com/subject/2209573/
201,高山下的花环,9.5,https://movie.douban.com/subject/1422283/
202,东邪西毒,8.6,https://movie.douban.com/subject/1292328/
203,你看起来好像很好吃,8.9,https://movie.douban.com/subject/4848115/
204,源代码,8.5,https://movie.douban.com/subject/3075287/
205,可可西里,8.9,https://movie.douban.com/subject/1308857/
206,疯狂的麦克斯4：狂暴之路,8.7,https://movie.douban.com/subject/3592854/
207,海边的曼彻斯特,8.6,https://movie.douban.com/subject/25980443/
208,城市之光,9.3,https://movie.douban.com/subject/1293908/
209,波西米亚狂想曲,8.6,https://movie.douban.com/subject/5300054/
210,黑天鹅,8.6,https://movie.douban.com/subject/1978709/
211,芙蓉镇,9.3,https://movie.douban.com/subject/1297880/
212,爱乐之城,8.4,https://movie.douban.com/subject/25934014/
213,青蛇,8.6,https://movie.douban.com/subject/1303394/
214,真爱至上,8.5,https://movie.douban.com/subject/1292401/
215,花束般的恋爱,8.6,https://movie.douban.com/subject/34874432/
216,初恋这件小事,8.5,https://movie.douban.com/subject/4739952/
217,雨人,8.7,https://movie.douban.com/subject/1291870/
218,终结者2：审判日,8.8,https://movie.douban.com/subject/1291844/
219,人工智能,8.7,https://movie.douban.com/subject/1302827/
220,机器人之梦,9.0,https://movie.douban.com/subject/35426925/
221,哈利·波特与死亡圣器(上),8.6,https://movie.douban.com/subject/2051007/
222,无耻混蛋,8.7,https://movie.douban.com/subject/1438652/
223,虎口脱险,8.9,https://movie.douban.com/subject/1296909/
224,白日梦想家,8.6,https://movie.douban.com/subject/2133323/
225,新龙门客栈,8.7,https://movie.douban.com/subject/1292287/
226,恋恋笔记本,8.5,https://movie.douban.com/subject/1309163/
227,崖上的波妞,8.6,https://movie.douban.com/subject/1959877/
228,罗生门,8.8,https://movie.douban.com/subject/1291879/
229,千钧一发,8.8,https://movie.douban.com/subject/1300117/
230,彗星来的那一夜,8.6,https://movie.douban.com/subject/25807345/
231,大红灯笼高高挂,8.8,https://movie.douban.com/subject/1293323/
232,哈利·波特与凤凰社,8.5,https://movie.douban.com/subject/1457217/
233,黑客帝国2：重装上阵,8.7,https://movie.douban.com/subject/1304141/
234,火星救援,8.5,https://movie.douban.com/subject/25864085/
235,萤火虫之墓,8.7,https://movie.douban.com/subject/1293318/
236,奇迹男孩,8.6,https://movie.douban.com/subject/26787574/
237,二十二,8.7,https://movie.douban.com/subject/26430107/
238,战争之王,8.7,https://movie.douban.com/subject/1419936/
239,步履不停,8.8,https://movie.douban.com/subject/2222996/
240,千年女优,8.8,https://movie.douban.com/subject/1307394/
241,血钻,8.7,https://movie.douban.com/subject/1428175/
242,谍影重重2,8.7,https://movie.douban.com/subject/1308767/
243,房间,8.8,https://movie.douban.com/subject/25724855/
244,魂断蓝桥,8.8,https://movie.douban.com/subject/1293964/
245,里斯本丸沉没,9.3,https://movie.douban.com/subject/30412658/
246,蜘蛛侠：平行宇宙,8.6,https://movie.douban.com/subject/26374197/
247,弱点,8.7,https://movie.douban.com/subject/3552028/
248,谍影重重,8.6,https://movie.douban.com/subject/1304102/
249,隐藏人物,8.9,https://movie.douban.com/subject/26615208/
250,朗读者,8.6,https://movie.douban.com/subject/2213597/
